name,balance,tag,url
Alliance DAO,50175.71,Fund,/explorer/entity/alliance-dao
Legendary Cobra Club,45761.24,Fund,/explorer/entity/legendary-cobra-club
vVv,44578.25,Fund,/explorer/entity/vvv-net
Three Arrows Capital,43596.58,Fund,/explorer/entity/three-arrows-capital
Wincent,42665.92,Fund,/explorer/entity/wincent-fund
DTC Capital,41300.02,Fund,/explorer/entity/dtc-capital
Oapital,39878.78,Fund,/explorer/entity/oapital
Ambush Capital,39627.52,Fund,/explorer/entity/ambush-capital
Validation Capital,32956.96,Fund,/explorer/entity/validation-capital
AB Nexus Fund,32562.09,Fund,/explorer/entity/ab-nexus-fund
Fabric Ventures,31653.42,Fund,/explorer/entity/fabric-ventures
August,31629.71,Fund,/explorer/entity/august
Blocksize Capital,30848.14,Fund,/explorer/entity/blocksize-capital
121G.fund,30252.19,Fund,/explorer/entity/121g-fund
Wave Digital Assets,29665.80,Fund,/explorer/entity/wave-digital-assets
Free Company,29520.56,Fund,/explorer/entity/free-company
TerraNova Capital,29365.00,Fund,/explorer/entity/terranova-capital
Vitruvius Ventures,28755.20,Fund,/explorer/entity/vitruvius-ventures
Moonshot Fund,27252.16,Fund,/explorer/entity/moonshot-fund
Future Optimization Profit Sharing Plan And Trust,25525.05,Fund,/explorer/entity/future-optimization-profit-sharing-plan-and-trust
Magnus Capital,24969.22,Fund,/explorer/entity/magnus-capital
The Forest Road Company,24885.37,Fund,/explorer/entity/the-forest-road-company
Axia8 Ventures,24877.27,Fund,/explorer/entity/axia8-ventures
Portofino Technologies,22706.34,Fund,/explorer/entity/portofino-technologies
Variant Fund,22089.88,Fund,/explorer/entity/variant-fund
SquidDAO,18289.72,Fund,/explorer/entity/squiddao
Forbole,17793.10,Fund,/explorer/entity/forbole
Stacker Ventures,15757.74,Fund,/explorer/entity/stacker-ventures
LedgerPrime,14335.35,Fund,/explorer/entity/ledgerprime
Link Ventures Capital,13418.66,Fund,/explorer/entity/link-ventures-capital
Solidefi.fund,13206.42,Fund,/explorer/entity/solidefi-fund
Nibbio,13114.89,Fund,/explorer/entity/nibbio
FutureMoney Group,12845.84,Fund,/explorer/entity/futuremoney-group
K21,12792.29,Fund,/explorer/entity/k21
Foresight Ventures,11144.23,Fund,/explorer/entity/foresight-ventures
Caballeros Capital,11116.08,Fund,/explorer/entity/caballeros-capital
Polder Fund,10028.34,Fund,/explorer/entity/polder-fund
Digital Finance Group,9502.29,Fund,/explorer/entity/digital-finance-group
Puzzle Ventures,9046.27,Fund,/explorer/entity/puzzle-ventures
3Jane Capital,9024.91,Fund,/explorer/entity/3jane-capital
BlockWater Management,8982.60,Fund,/explorer/entity/blockwater-management
Delphi Digital,7788.03,Fund,/explorer/entity/delphi-digital
Numeus Group,7596.70,Fund,/explorer/entity/numeus-group
Gordian Block Capital,6222.48,Fund,/explorer/entity/gordian-capital
Coinfund,6091.64,Fund,/explorer/entity/coinfund
Plutus VC,6015.17,Fund,/explorer/entity/plutus-vc
Qilin Labs,5965.80,Fund,/explorer/entity/qilin-labs
HTX Ventures,5959.41,Fund,/explorer/entity/htx-ventures
Kosmos Ventures,5808.00,Fund,/explorer/entity/kosmos-ventures
Mechanism Capital,5776.21,Fund,/explorer/entity/mechanism-capital
8 Decimal Capital,5650.24,Fund,/explorer/entity/8-decimal-capital
LionTree,5638.80,Fund,/explorer/entity/liontree
CTF Capital,5610.44,Fund,/explorer/entity/ctf-capital
Own.fund,5389.23,Fund,/explorer/entity/own-fund
Touzi Capital,4779.76,Fund,/explorer/entity/touzi-capital
Anti Fund,4669.98,Fund,/explorer/entity/anti-fund
Chapter One,4374.14,Fund,/explorer/entity/chapter-one
Alven Capital,4256.61,Fund,/explorer/entity/alven-capital
Momentum 6,4082.31,Fund,/explorer/entity/momentum-6
AKG Ventures,4038.00,Fund,/explorer/entity/akg-ventures
Flow Ventures,3949.11,Fund,/explorer/entity/flow-ventures
Keyrock,3546.24,Fund,/explorer/entity/keyrock
D1 Ventures,3453.44,Fund,/explorer/entity/d1-ventures
Nima Capital,3359.87,Fund,/explorer/entity/nima-capital
Abxinvest,3299.33,Fund,/explorer/entity/abxinvest
eGirl Capital,3287.60,Fund,/explorer/entity/egirl-capital
Node Capital,2900.30,Fund,/explorer/entity/node-capital
Sixtant,2826.22,Fund,/explorer/entity/sixtant
Prycto,2779.36,Fund,/explorer/entity/prycto
Polychain Capital,2749.44,Fund,/explorer/entity/polychain-capital
Electric Capital,2650.90,Fund,/explorer/entity/electric-capital
CitizenX,2633.95,Fund,/explorer/entity/citizenx
Bankless VC,2566.93,Fund,/explorer/entity/banklessvc
Profluent Trading,2451.04,Fund,/explorer/entity/profluent-trading
TPS Capital,2443.67,Fund,/explorer/entity/tps-capital
Babel Finance,2397.29,Fund,/explorer/entity/babel-finance
GS Capital,2367.03,Fund,/explorer/entity/gs-capital
Legion,2336.32,Fund,/explorer/entity/legion-ventures
Apollo Crypto,2303.25,Fund,/explorer/entity/apollo-capital
Inception Capital,2221.62,Fund,/explorer/entity/op-crypto-vc
Yuobi Capital,2212.41,Fund,/explorer/entity/yuobi-capital
Folkvang Trading,2183.73,Fund,/explorer/entity/folkvang-trading
Mike Duboe,2147.26,Fund,/explorer/entity/mike-duboe
Varys Capital,2070.23,Fund,/explorer/entity/varys-capital
A-DAM Fund,2015.83,Fund,/explorer/entity/a-dam-fund
7 O'Clock Capital,1907.17,Fund,/explorer/entity/7-oclock-capital
AU21 Capital,1806.43,Fund,/explorer/entity/au21-capital
Everest Ventures Group,1742.75,Fund,/explorer/entity/everest-ventures-group
Woorton,1624.49,Fund,/explorer/entity/woorton
BCW Group,1559.68,Fund,/explorer/entity/bcw-group
Digital Currency Group,1540.44,Fund,/explorer/entity/digital-currency-group
LAUNCHub Ventures,1450.61,Fund,/explorer/entity/launchub-ventures
VBC Ventures,1370.91,Fund,/explorer/entity/vbc-ventures
Gattaca Ventures,1310.19,Fund,/explorer/entity/gattaca-ventures
Secure Digital Markets,1279.30,Fund,/explorer/entity/secure-digital-markets
GBV Capital,1249.21,Fund,/explorer/entity/gbv-capital
Bing Ventures,1200.39,Fund,/explorer/entity/bing-ventures
Eden Block,1173.31,Fund,/explorer/entity/eden-block
Dialectic,1114.06,Fund,/explorer/entity/dialectic
Diamond Hands Capital,1052.46,Fund,/explorer/entity/diamond-hands-capital
Bigcoin Capital,1018.88,Fund,/explorer/entity/bigcoin-capital
Brevan Howard Digital,914.12,Fund,/explorer/entity/brevan-howard-digital
Red Oak Cayman,899.89,Fund,/explorer/entity/red-oak-partners
Vexil Capital,898.76,Fund,/explorer/entity/vexil-capital
Moonbag Capital,883.58,Fund,/explorer/entity/moonbag-capital
Moonrock Capital,795.20,Fund,/explorer/entity/moonrock-capital
Node Kapital,775.29,Fund,/explorer/entity/node-kapital
JST Digital,764.10,Fund,/explorer/entity/jst-digital
Superstate,758.32,Fund,/explorer/entity/superstate
Edge and Pace Crypto,757.42,Fund,/explorer/entity/edge-and-pace-crypto
Hello Capital,652.92,Fund,/explorer/entity/hello-capital
VolleyFire,635.27,Fund,/explorer/entity/volleyfire
Wavebridge,583.26,Fund,/explorer/entity/wavebridge
Incuba Alpha,566.15,Fund,/explorer/entity/incuba-alpha
Kirin Fund,542.77,Fund,/explorer/entity/kirin-fund
NewTribe Capital,525.97,Fund,/explorer/entity/newtribe-capital
Astelek Crypto Fund,510.36,Fund,/explorer/entity/astelek-crypto-fund
AP Capital,488.92,Fund,/explorer/entity/ap-capital
Bain Capital Ventures,412.63,Fund,/explorer/entity/bain-capital-ventures
Digital Asset Funds Mgmt,407.16,Fund,/explorer/entity/dafm
Red River Trading,382.25,Fund,/explorer/entity/red-river-trading
Invictus Capital,370.60,Fund,/explorer/entity/invictus-capital
Du Capital,367.32,Fund,/explorer/entity/du-capital
Galois Capital,354.00,Fund,/explorer/entity/galois-capital
Pulsar,333.90,Fund,/explorer/entity/pulsar-trading-capital
BTC12 Capital,322.34,Fund,/explorer/entity/btc12-capital
GFS Ventures,312.21,Fund,/explorer/entity/gfs-ventures
Interchain,287.36,Fund,/explorer/entity/icf
Next Generation Fund,282.62,Fund,/explorer/entity/next-generation-fund
Alpha Omega Capital,247.32,Fund,/explorer/entity/alpha-omega-capital
Antalpha,229.19,Fund,/explorer/entity/antalpha
Kronos Research,228.70,Fund,/explorer/entity/kronos-asset-management
Bastion Trading,220.14,Fund,/explorer/entity/bastion-trading
Qwerty Fund,208.82,Fund,/explorer/entity/qwerty-fund
Aleph Ventures,207.68,Fund,/explorer/entity/alephventures
Rarestone Capital,200.92,Fund,/explorer/entity/rarestone-capital
Dunamis Trading,194.05,Fund,/explorer/entity/dunamis-trading
Orthogonal Trading,184.41,Fund,/explorer/entity/orthogonal-trading
CommPeak,183.23,Fund,/explorer/entity/commpeak
Grapefruit Trading,171.80,Fund,/explorer/entity/grapefruit-trading
Prisminvest,169.16,Fund,/explorer/entity/prisminvest
Nur Capital,164.45,Fund,/explorer/entity/nur-capital
Covesting,151.06,Fund,/explorer/entity/covesting
Woodstock Fund,144.36,Fund,/explorer/entity/woodstock-fund
Amesten Capital,134.18,Fund,/explorer/entity/amesten-capital
Based Ventures,128.45,Fund,/explorer/entity/based-ventures
Atvantis Group,124.68,Fund,/explorer/entity/atvantis-group
Velox Trading,124.65,Fund,/explorer/entity/velox-trading
Magic Ventures,124.34,Fund,/explorer/entity/magic-ventures
Aigo Group,116.55,Fund,/explorer/entity/aigo-group
Tower Trading Group,114.47,Fund,/explorer/entity/tower-trading-group
SV Angel,110.82,Fund,/explorer/entity/sv-angel
C2 Capital,106.58,Fund,/explorer/entity/c2-capital
Avstar Capital,105.56,Fund,/explorer/entity/avstar-capital
Turtle Lab,105.43,Fund,/explorer/entity/turtle-lab
Meta4 Capital,100.37,Fund,/explorer/entity/meta4-capital
Crypto20,96.46,Fund,/explorer/entity/crypto20
Gravity Team,95.40,Fund,/explorer/entity/gravity-team
Altonomy,91.83,Fund,/explorer/entity/altonomy
Efficient Frontier,89.94,Fund,/explorer/entity/efficient-frontier
Solidum Capital,87.16,Fund,/explorer/entity/solidum-capital
Kernel Ventures,83.95,Fund,/explorer/entity/kernel-ventures
Morningstar Ventures,83.93,Fund,/explorer/entity/morningstar-ventures
Klever Ventures,83.32,Fund,/explorer/entity/kleverventures
Superluminance,80.99,Fund,/explorer/entity/superluminance
Bnk to the Future,80.59,Fund,/explorer/entity/bank-to-the-future
Interblock Capital,77.66,Fund,/explorer/entity/interblock-capital
Cinnamon Labs,74.90,Fund,/explorer/entity/cinnamon-labs
Monetalis,74.05,Fund,/explorer/entity/monetalis
