name,balance,tag
Prisminvest,169.16,Fund
Nur Capital,164.45,Fund
Covesting,151.06,Fund
Woodstock Fund,144.36,Fund
Amesten Capital,134.18,Fund
Based Ventures,128.45,Fund
Atvantis Group,124.68,Fund
Velox Trading,124.65,Fund
Magic Ventures,124.34,Fund
Aigo Group,116.55,Fund
Tower Trading Group,114.47,Fund
SV Angel,110.82,Fund
C2 Capital,106.58,Fund
Avstar Capital,105.56,Fund
Turtle Lab,105.43,Fund
Meta4 Capital,100.37,Fund
Crypto20,96.46,Fund
Gravity Team,95.40,Fund
Altonomy,91.83,Fund
Efficient Frontier,89.94,Fund
Solidum Capital,87.16,Fund
Kernel Ventures,83.95,Fund
Morningstar Ventures,83.93,Fund
Klever Ventures,83.32,Fund
Superluminance,80.99,Fund
Bnk to the Future,80.59,Fund
Interblock Capital,77.66,Fund
Cinnamon Labs,74.90,Fund
Monetalis,74.05,Fund
Manuel Romero,63.26,Fund
Chernovetskyi Investment Group,60.23,Fund
Centrality,59.29,Fund
Golden Gateways,59.16,Fund
Flipside Investing,58.64,Fund
Pelian Group,58.57,Fund
Yuba Securities,58.25,Fund
GlobalStar,57.66,Fund
AI360,54.16,Fund
Lindy Digital,53.55,Fund
The Creations Group,52.64,Fund
Andes Capital,51.94,Fund
Newave Capital,51.89,Fund
Sequoia Capital,49.99,Fund
MMXX Capital,49.87,Fund
Maelstrom Fund,48.08,Fund
Kenetic Capital,47.76,Fund
Silveridge Holdings,47.34,Fund
100X,47.04,Fund
dao5,46.01,Fund
Finery Tech,45.91,Fund
Digital Strategies,43.63,Fund
Yuntai Fund,43.34,Fund
Novatron Capital,42.72,Fund
SIGTERM Inc.,41.84,Fund
Hehmeyer Nortide,41.45,Fund
Ballast Capital,40.86,Fund
Rising Venture,40.65,Fund
G-20 Group,39.38,Fund
Ryu Capital,38.79,Fund
Kryptos Fund,38.74,Fund
Sora Ventures,37.76,Fund
Qube RT,36.23,Fund
Unifund Capital,35.75,Fund
Agnostic Fund,35.20,Fund
United Traders,33.80,Fund
Cryptotrust Fiduciaria,33.53,Fund
Titan Ventures,33.23,Fund
IDEG,32.66,Fund
Knight Club Capital,32.42,Fund
Teesta Investment,31.99,Fund
WX Capital,30.26,Fund
Blitz Network,27.75,Fund
Accent Solutions and Trade,27.20,Fund
Aureas Finance,27.18,Fund
Numerium3,25.70,Fund
BlockTower Capital,24.31,Fund
Mercy Corps Ventures,23.85,Fund
dwtrades,23.19,Fund
Sneaky Ventures,22.40,Fund
Global Map,21.44,Fund
Moonvault Capital,19.98,Fund
CQ Capital,19.51,Fund
11 Ventures,19.31,Fund
ZhenFund,18.09,Fund
CMT Digital,16.34,Fund
Agatha Ventures,15.59,Fund
CrypPro,15.26,Fund
ANB Investments,12.72,Fund
Starry Night Capital,12.45,Fund
Melanion Capital,12.43,Fund
cyber•Fund,11.20,Fund
RavenDAO,10.96,Fund
Madlotte Fund,10.45,Fund
Eterna Capital,9.81,Fund
Nirvana Capital,9.53,Fund
Ruffer Investment Company,6.07,Fund
JKL Group,6.05,Fund
Shirley McNamee Revocable Living Trust,5.47,Fund
Shima Capital,5.19,Fund
Trovio,4.14,Fund
Chater Legend,2.58,Fund
QuantBlock,2.57,Fund
Dahret Group,2.53,Fund
Adonai Professional Services,2.28,Fund
Miton,2.20,Fund
Cole Capital,2.19,Fund
Magnet Capital,2.11,Fund
Dexterity Capital,2.07,Fund
Antelope Technology,1.42,Fund
Point 95 Global,1.31,Fund
Niederhoffer Capital Management,1.20,Fund
Kwantum Advisory,1.20,Fund
Parallel Capital,1.11,Fund
Simuka Solutions,1.10,Fund
168 Trading,1.00,Fund
B-Brick,0.99,Fund
Fourth Revolution Capital,0.86,Fund
Fidelity FETH ETF Inflows,0.81,Fund
"The Charles W. Gardner Living Trust Dated March 18, 2020",0.77,Fund
Alven Jerome Kroot Agreement Of Trust,0.76,Fund
Bradford Group,0.76,Fund
Knightlight Asset Advisory,0.75,Fund
The MSL Family Trust,0.74,Fund
Daedalus,0.74,Fund
The Trustee For Carroll Milton Super Fund,0.73,Fund
Siddhartha Super ATF Colagiuri Superfund,0.73,Fund
Amelyore Digital Assets Fund,0.73,Fund
Nuovotech,0.70,Fund
Lipkis Family,0.69,Fund
Wahl Coats Investments,0.67,Fund
Weave Markets,0.66,Fund
Hewitt Family Superannuation Fund,0.65,Fund
Rdavila II RD,0.65,Fund
Geometric Quant Alpha Fund,0.63,Fund
Hashed,0.63,Fund
Ross H. Hadfield Trust,0.62,Fund
Hackerdad,0.60,Fund
Ppecora Ddo,0.60,Fund
Kktd Management Sub-1,0.59,Fund
The Trustee Of The Grove Super Family Fund,0.58,Fund
My Holdings,0.58,Fund
Thomas Carruthers Auseng Super,0.58,Fund
Twmt,0.58,Fund
A & L De Meio Super Fund,0.58,Fund
Dragonstone,0.57,Fund
J Vibert,0.57,Fund
David Gregory Family Trust,0.57,Fund
Wstarr Ddo,0.57,Fund
D Mac Investments,0.57,Fund
DSCA44 Fund,0.56,Fund
Lindy Fund,0.56,Fund
Astram Capital,0.55,Fund
Chamfer,0.54,Fund
T-Blackdogmd,0.54,Fund
Keiko Kawaii ATF Keiko Family Trust,0.52,Fund
Link Zootopia Trustee For The Alpha Tsen Family Trust,0.52,Fund
Beyond Associates,0.51,Fund
The Trustee For Hord Family Super Fund,0.51,Fund
Spyglass Ventures,0.50,Fund
Cpg 401K Trust,0.50,Fund
David Lynch Capital Trust,0.50,Fund
Eclipse Alternative Investments,0.50,Fund
Brian T. Slater Revocable Living Trust,0.49,Fund
Atlantis Investments Australia,0.49,Fund
BLP-S401K,0.49,Fund
The Eric Matthew Burt Revocable Trust,0.49,Fund
Kompaso,0.48,Fund
Pmk Family Trust,0.48,Fund
Kodiak Technologies,0.48,Fund
Vanessa Nicole Blumberg Trust II,0.47,Fund
Tthomas RD,0.47,Fund
13681092 Canada,0.47,Fund
Rolling Wave,0.47,Fund
Pelergy,0.46,Fund
Aether Capital,0.46,Fund
Vesna,0.46,Fund
Donald Macdonald Professional,0.45,Fund
Mali Capital,0.45,Fund
AJW Investments,0.45,Fund
Breen It Solutions,0.42,Fund
Golden Oaks Nominees,0.41,Fund
2825825 Ontario,0.41,Fund
Amazonica Verde,0.41,Fund
Snaritsin Roth,0.41,Fund
Student Info Solutions,0.40,Fund
Dimensional Solutions Trustee For The Dimensional Life Trust,0.39,Fund
Trustee For Josh Barrett Superannuation Fund,0.39,Fund
Madison Trust Custodian FBO Samuel John Mueller,0.38,Fund
Mondel Investment Trust,0.38,Fund
Bluestream Capital Trustee For Bluestream Super Fund,0.38,Fund
Yarden Smsf Investments,0.38,Fund
Grant Leigh Oliver Projects,0.37,Fund
Waughzone Super ATF Waughzone Superfund,0.37,Fund
Indie Source,0.37,Fund
Prosperity Story,0.37,Fund
Rising Phoenix Ventures,0.36,Fund
Obsidian Express,0.36,Fund
Jbey Trustee For Jbey Super Fund,0.36,Fund
Blockmount Capital,0.35,Fund
Good Forrest Super,0.35,Fund
Oddbeaker,0.35,Fund
Alpha Focus,0.34,Fund
Tcp Investments,0.34,Fund
Rwi Investment Trust,0.34,Fund
Spqr,0.33,Fund
Projectmr Rudman Family Superfund,0.33,Fund
Digitaurus ATF Vann Family Superannuation Fund,0.33,Fund
River Run Capital,0.32,Fund
A Better Boat,0.32,Fund
Candlenest,0.32,Fund
Dnaritsin RD,0.32,Fund
Heiliger Holdings,0.32,Fund
Bryan Brashears,0.31,Fund
Pr Crypto Fund-I,0.31,Fund
Pic Crypto 401K,0.31,Fund
